episode,Episode_reward
0,11.0
1,17.0
2,17.0
3,13.0
4,14.0
5,22.0
6,34.0
7,14.0
8,20.0
9,25.0
10,14.0
11,12.0
12,14.0
13,15.0
14,11.0
15,21.0
16,33.0
17,18.0
18,20.0
19,34.0
20,13.0
21,25.0
22,21.0
23,17.0
24,19.0
25,26.0
26,36.0
27,45.0
28,31.0
29,19.0
30,14.0
31,23.0
32,32.0
33,19.0
34,10.0
35,14.0
36,15.0
37,28.0
38,10.0
39,56.0
40,20.0
41,10.0
42,82.0
43,32.0
44,10.0
45,21.0
46,67.0
47,27.0
48,21.0
49,37.0
50,15.0
51,19.0
52,27.0
53,45.0
54,18.0
55,22.0
56,25.0
57,17.0
58,31.0
59,26.0
60,33.0
61,40.0
62,14.0
63,41.0
64,76.0
65,23.0
66,83.0
67,32.0
68,77.0
69,69.0
70,21.0
71,17.0
72,51.0
73,17.0
74,18.0
75,111.0
76,11.0
77,38.0
78,31.0
79,31.0
80,37.0
81,25.0
82,51.0
83,17.0
84,28.0
85,18.0
86,21.0
87,84.0
88,54.0
89,42.0
90,24.0
91,28.0
92,65.0
93,60.0
94,20.0
95,52.0
96,22.0
97,124.0
98,35.0
99,90.0
100,113.0
101,66.0
102,108.0
103,118.0
104,103.0
105,61.0
106,172.0
107,121.0
108,39.0
109,63.0
110,35.0
111,38.0
112,64.0
113,141.0
114,47.0
115,154.0
116,75.0
117,31.0
118,22.0
119,24.0
120,60.0
121,42.0
122,65.0
123,70.0
124,28.0
125,38.0
126,87.0
127,30.0
128,39.0
129,60.0
130,145.0
131,31.0
132,115.0
133,34.0
134,23.0
135,19.0
136,35.0
137,29.0
138,139.0
139,51.0
140,70.0
141,55.0
142,55.0
143,78.0
144,70.0
145,156.0
146,87.0
147,57.0
148,111.0
149,46.0
150,98.0
151,65.0
152,30.0
153,128.0
154,128.0
155,21.0
156,79.0
157,23.0
158,117.0
159,66.0
160,128.0
161,144.0
162,81.0
163,93.0
164,137.0
165,200.0
166,188.0
167,146.0
168,178.0
169,132.0
170,76.0
171,182.0
172,57.0
173,200.0
174,115.0
175,165.0
176,148.0
177,48.0
178,92.0
179,38.0
180,62.0
181,78.0
182,63.0
183,50.0
184,200.0
185,89.0
186,92.0
187,141.0
188,103.0
189,99.0
190,168.0
191,118.0
192,111.0
193,150.0
194,126.0
195,102.0
196,81.0
197,92.0
198,101.0
199,157.0
200,142.0
201,145.0
202,121.0
203,200.0
204,101.0
205,38.0
206,93.0
207,55.0
208,66.0
209,115.0
210,111.0
211,33.0
212,141.0
213,180.0
214,183.0
215,200.0
216,200.0
217,199.0
218,200.0
219,109.0
220,200.0
221,200.0
222,200.0
223,200.0
224,150.0
225,200.0
226,143.0
227,163.0
228,126.0
229,151.0
230,191.0
231,146.0
232,160.0
233,159.0
234,181.0
235,133.0
236,159.0
237,196.0
238,171.0
239,170.0
240,200.0
241,200.0
242,200.0
243,197.0
244,200.0
245,147.0
246,200.0
247,200.0
248,200.0
249,167.0
250,200.0
251,200.0
252,200.0
253,164.0
254,159.0
255,200.0
256,115.0
257,200.0
258,192.0
259,154.0
260,138.0
261,58.0
262,161.0
263,200.0
264,200.0
265,150.0
266,145.0
267,188.0
268,154.0
269,86.0
270,151.0
271,53.0
272,117.0
273,106.0
274,70.0
275,45.0
276,65.0
277,105.0
278,42.0
279,38.0
280,69.0
281,59.0
282,86.0
283,52.0
284,75.0
285,23.0
286,99.0
287,66.0
288,43.0
289,70.0
290,55.0
291,105.0
292,85.0
293,112.0
294,84.0
295,76.0
296,83.0
297,146.0
298,114.0
299,87.0
300,107.0
301,118.0
302,168.0
303,163.0
304,200.0
305,200.0
306,186.0
307,200.0
308,200.0
309,182.0
310,133.0
311,200.0
312,121.0
313,34.0
314,96.0
315,20.0
316,180.0
317,30.0
318,20.0
319,21.0
320,17.0
321,22.0
322,27.0
323,26.0
324,89.0
325,102.0
326,27.0
327,31.0
328,41.0
329,107.0
330,20.0
331,111.0
332,127.0
333,94.0
334,134.0
335,103.0
336,187.0
337,200.0
338,200.0
339,200.0
340,200.0
341,149.0
342,200.0
343,200.0
344,112.0
345,146.0
346,200.0
347,153.0
348,200.0
349,123.0
350,200.0
351,152.0
352,168.0
353,200.0
354,131.0
355,147.0
356,123.0
357,148.0
358,200.0
359,200.0
360,175.0
361,200.0
362,130.0
363,200.0
364,200.0
365,120.0
366,33.0
367,173.0
368,147.0
369,175.0
370,200.0
371,200.0
372,200.0
373,188.0
374,110.0
375,200.0
376,116.0
377,104.0
378,200.0
379,109.0
380,200.0
381,191.0
382,200.0
383,200.0
384,200.0
385,200.0
386,128.0
387,170.0
388,200.0
389,200.0
390,200.0
391,200.0
392,127.0
393,200.0
394,192.0
395,200.0
396,171.0
397,200.0
398,123.0
399,200.0
400,191.0
401,173.0
402,148.0
403,198.0
404,96.0
405,200.0
406,110.0
407,199.0
408,200.0
409,106.0
410,189.0
411,200.0
412,200.0
413,181.0
414,200.0
415,200.0
416,200.0
417,197.0
418,189.0
419,124.0
420,162.0
421,197.0
422,200.0
423,200.0
424,200.0
425,200.0
426,200.0
427,200.0
428,200.0
429,188.0
430,83.0
431,197.0
432,200.0
433,200.0
434,200.0
435,200.0
436,165.0
437,200.0
438,200.0
439,200.0
440,200.0
441,200.0
442,200.0
443,143.0
444,200.0
445,200.0
446,192.0
447,200.0
448,200.0
449,200.0
450,164.0
451,135.0
452,160.0
453,119.0
454,140.0
455,139.0
456,154.0
457,167.0
458,148.0
459,139.0
460,122.0
461,129.0
462,131.0
463,117.0
464,145.0
465,159.0
466,127.0
467,157.0
468,156.0
469,166.0
470,148.0
471,141.0
472,200.0
473,200.0
474,183.0
475,200.0
476,200.0
477,200.0
478,200.0
479,200.0
480,200.0
481,200.0
482,200.0
483,200.0
484,200.0
485,200.0
486,200.0
487,200.0
488,200.0
489,200.0
490,200.0
491,200.0
492,200.0
493,200.0
494,200.0
495,200.0
496,183.0
497,185.0
498,200.0
499,200.0
500,200.0
501,200.0
502,173.0
503,200.0
504,166.0
505,200.0
506,194.0
507,200.0
508,200.0
509,200.0
510,158.0
511,200.0
512,187.0
513,166.0
514,184.0
515,142.0
516,179.0
517,139.0
518,184.0
519,181.0
520,136.0
521,194.0
522,191.0
523,156.0
524,131.0
525,177.0
526,128.0
527,163.0
528,147.0
529,200.0
530,200.0
531,200.0
532,200.0
533,200.0
534,200.0
535,200.0
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,187.0
544,200.0
545,200.0
546,200.0
547,200.0
548,200.0
549,200.0
550,199.0
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,200.0
559,142.0
560,200.0
561,200.0
562,143.0
563,200.0
564,200.0
565,181.0
566,166.0
567,200.0
568,160.0
569,200.0
570,200.0
571,200.0
572,200.0
573,200.0
574,200.0
575,200.0
576,200.0
577,200.0
578,200.0
579,200.0
580,200.0
581,200.0
582,200.0
583,200.0
584,200.0
585,200.0
586,200.0
587,200.0
588,200.0
589,200.0
590,200.0
591,200.0
592,200.0
593,200.0
594,200.0
595,200.0
596,200.0
597,200.0
598,200.0
599,200.0
600,200.0
601,200.0
602,200.0
603,200.0
604,200.0
605,200.0
606,200.0
607,200.0
608,200.0
609,200.0
610,200.0
611,200.0
612,200.0
613,200.0
614,200.0
615,200.0
616,200.0
617,200.0
618,200.0
619,200.0
620,200.0
621,200.0
622,200.0
623,200.0
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,200.0
640,200.0
641,200.0
642,200.0
643,200.0
644,200.0
645,200.0
646,200.0
647,200.0
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,200.0
654,200.0
655,200.0
656,200.0
657,200.0
658,200.0
659,200.0
660,200.0
661,200.0
662,200.0
663,200.0
664,200.0
665,200.0
666,200.0
667,200.0
668,200.0
669,200.0
670,200.0
671,200.0
672,200.0
673,200.0
674,200.0
675,200.0
676,200.0
677,200.0
678,200.0
679,200.0
680,200.0
681,200.0
682,200.0
683,182.0
684,175.0
685,200.0
686,200.0
687,200.0
688,159.0
689,160.0
690,169.0
691,186.0
692,183.0
693,162.0
694,170.0
695,153.0
696,195.0
697,170.0
698,170.0
699,200.0
700,174.0
701,167.0
702,137.0
703,184.0
704,147.0
705,168.0
706,162.0
707,138.0
708,130.0
709,143.0
710,129.0
711,135.0
712,133.0
713,130.0
714,137.0
715,115.0
716,127.0
717,136.0
718,130.0
719,122.0
720,140.0
721,87.0
722,47.0
723,51.0
724,30.0
725,41.0
726,42.0
727,32.0
728,34.0
729,29.0
730,24.0
731,26.0
732,25.0
733,20.0
734,29.0
735,26.0
736,30.0
737,29.0
738,29.0
739,30.0
740,27.0
741,26.0
742,31.0
743,17.0
744,26.0
745,25.0
746,20.0
747,25.0
748,21.0
749,31.0
750,19.0
751,21.0
752,34.0
753,15.0
754,25.0
755,21.0
756,22.0
757,13.0
758,22.0
759,31.0
760,29.0
761,26.0
762,26.0
763,27.0
764,33.0
765,31.0
766,29.0
767,32.0
768,34.0
769,30.0
770,30.0
771,38.0
772,39.0
773,52.0
774,34.0
775,34.0
776,47.0
777,36.0
778,34.0
779,43.0
780,34.0
781,44.0
782,45.0
783,42.0
784,31.0
785,29.0
786,42.0
787,39.0
788,32.0
789,37.0
790,34.0
791,41.0
792,52.0
793,47.0
794,35.0
795,42.0
796,51.0
797,40.0
798,44.0
799,37.0
800,35.0
801,40.0
802,65.0
803,45.0
804,49.0
805,37.0
806,55.0
807,67.0
808,46.0
809,70.0
810,49.0
811,63.0
812,57.0
813,50.0
814,70.0
815,54.0
816,71.0
817,49.0
818,69.0
819,85.0
820,68.0
821,68.0
822,80.0
823,70.0
824,58.0
825,66.0
826,69.0
827,70.0
828,55.0
829,74.0
830,96.0
831,74.0
832,88.0
833,87.0
834,87.0
835,77.0
836,97.0
837,82.0
838,86.0
839,86.0
840,82.0
841,79.0
842,79.0
843,92.0
844,96.0
845,96.0
846,88.0
847,117.0
848,89.0
849,133.0
850,109.0
851,90.0
852,108.0
853,116.0
854,119.0
855,101.0
856,100.0
857,86.0
858,121.0
859,94.0
860,133.0
861,94.0
862,83.0
863,106.0
864,101.0
865,119.0
866,112.0
867,102.0
868,110.0
869,108.0
870,124.0
871,120.0
872,127.0
873,103.0
874,84.0
875,101.0
876,92.0
877,150.0
878,112.0
879,114.0
880,116.0
881,114.0
882,107.0
883,134.0
884,121.0
885,98.0
886,120.0
887,138.0
888,106.0
889,191.0
890,158.0
891,200.0
892,162.0
893,200.0
894,194.0
895,169.0
896,191.0
897,169.0
898,159.0
899,181.0
900,147.0
901,196.0
902,198.0
903,155.0
904,198.0
905,188.0
906,190.0
907,170.0
908,189.0
909,200.0
910,191.0
911,163.0
912,156.0
913,152.0
914,156.0
915,140.0
916,174.0
917,127.0
918,140.0
919,119.0
920,150.0
921,156.0
922,124.0
923,125.0
924,137.0
925,125.0
926,128.0
927,153.0
928,121.0
929,128.0
930,119.0
931,136.0
932,126.0
933,143.0
934,140.0
935,153.0
936,158.0
937,152.0
938,154.0
939,128.0
940,152.0
941,148.0
942,177.0
943,200.0
944,157.0
945,182.0
946,166.0
947,162.0
948,171.0
949,200.0
950,176.0
951,194.0
952,169.0
953,200.0
954,192.0
955,189.0
956,200.0
957,200.0
958,186.0
959,191.0
960,190.0
961,200.0
962,200.0
963,200.0
964,200.0
965,200.0
966,200.0
967,200.0
968,200.0
969,200.0
970,200.0
971,200.0
972,200.0
973,200.0
974,200.0
975,200.0
976,200.0
977,200.0
978,200.0
979,200.0
980,200.0
981,200.0
982,200.0
983,197.0
984,200.0
985,200.0
986,200.0
987,200.0
988,200.0
989,200.0
990,200.0
991,200.0
992,200.0
993,200.0
994,200.0
995,200.0
996,200.0
997,200.0
998,200.0
999,200.0
1000,196.0
1001,200.0
1002,200.0
1003,200.0
1004,200.0
1005,200.0
1006,200.0
1007,200.0
1008,200.0
1009,200.0
1010,200.0
1011,200.0
1012,200.0
1013,200.0
1014,200.0
1015,200.0
1016,200.0
1017,200.0
1018,200.0
1019,200.0
1020,200.0
1021,200.0
1022,200.0
1023,200.0
1024,200.0
1025,200.0
1026,200.0
1027,200.0
1028,200.0
1029,200.0
1030,200.0
1031,200.0
1032,200.0
1033,200.0
1034,200.0
1035,200.0
1036,200.0
1037,200.0
1038,200.0
1039,200.0
1040,200.0
1041,200.0
1042,200.0
1043,200.0
1044,200.0
1045,200.0
1046,200.0
1047,200.0
1048,200.0
1049,200.0
1050,200.0
1051,200.0
1052,200.0
1053,200.0
1054,200.0
1055,200.0
1056,200.0
1057,200.0
1058,200.0
1059,200.0
1060,200.0
1061,200.0
1062,200.0
1063,200.0
1064,200.0
1065,200.0
1066,200.0
1067,200.0
1068,200.0
1069,200.0
1070,200.0
1071,200.0
1072,200.0
1073,200.0
1074,200.0
1075,200.0
1076,200.0
1077,200.0
1078,200.0
1079,200.0
1080,200.0
1081,200.0
1082,200.0
1083,200.0
1084,200.0
1085,200.0
1086,200.0
1087,200.0
1088,200.0
1089,200.0
1090,200.0
1091,200.0
1092,200.0
1093,200.0
1094,200.0
1095,200.0
1096,200.0
1097,200.0
1098,200.0
1099,200.0
1100,200.0
1101,200.0
1102,200.0
1103,200.0
1104,200.0
1105,200.0
1106,200.0
1107,200.0
1108,200.0
1109,200.0
1110,200.0
1111,200.0
1112,200.0
1113,200.0
1114,200.0
1115,200.0
1116,200.0
1117,200.0
1118,200.0
1119,200.0
1120,200.0
1121,200.0
1122,200.0
1123,200.0
1124,200.0
1125,200.0
1126,200.0
1127,200.0
1128,200.0
1129,200.0
1130,200.0
1131,200.0
1132,200.0
1133,200.0
1134,200.0
1135,200.0
1136,200.0
1137,200.0
1138,200.0
1139,200.0
1140,200.0
1141,200.0
1142,200.0
1143,200.0
1144,200.0
1145,200.0
1146,200.0
1147,200.0
1148,200.0
1149,200.0
1150,200.0
1151,200.0
1152,200.0
1153,200.0
1154,200.0
1155,200.0
1156,200.0
1157,200.0
1158,200.0
1159,200.0
1160,200.0
1161,200.0
1162,200.0
1163,200.0
1164,200.0
1165,200.0
1166,200.0
1167,200.0
1168,200.0
1169,200.0
1170,200.0
1171,200.0
1172,200.0
1173,200.0
1174,200.0
1175,200.0
1176,200.0
1177,200.0
1178,200.0
1179,200.0
1180,200.0
1181,200.0
1182,200.0
1183,200.0
1184,200.0
1185,200.0
1186,200.0
1187,200.0
1188,200.0
1189,200.0
1190,200.0
1191,200.0
1192,200.0
1193,200.0
1194,200.0
1195,200.0
1196,200.0
1197,200.0
1198,200.0
1199,200.0
1200,200.0
1201,200.0
1202,200.0
1203,200.0
1204,200.0
1205,200.0
1206,200.0
1207,200.0
1208,200.0
1209,200.0
1210,200.0
1211,200.0
1212,200.0
1213,200.0
1214,200.0
1215,200.0
1216,200.0
1217,200.0
1218,200.0
1219,200.0
1220,200.0
1221,200.0
1222,200.0
1223,200.0
1224,200.0
1225,200.0
1226,197.0
1227,200.0
1228,191.0
1229,200.0
1230,200.0
1231,198.0
1232,200.0
1233,200.0
1234,200.0
1235,200.0
1236,200.0
1237,200.0
1238,199.0
1239,200.0
1240,191.0
1241,188.0
1242,179.0
1243,197.0
1244,188.0
1245,183.0
1246,194.0
1247,169.0
1248,166.0
1249,167.0
1250,192.0
1251,170.0
1252,186.0
1253,191.0
1254,181.0
1255,178.0
1256,179.0
1257,189.0
1258,179.0
1259,193.0
1260,177.0
1261,166.0
1262,191.0
1263,200.0
1264,182.0
1265,192.0
1266,198.0
1267,193.0
1268,183.0
1269,190.0
1270,200.0
1271,181.0
1272,200.0
1273,200.0
1274,200.0
1275,200.0
1276,200.0
1277,200.0
1278,200.0
1279,200.0
1280,200.0
1281,200.0
1282,200.0
1283,200.0
1284,200.0
1285,200.0
1286,200.0
1287,200.0
1288,200.0
1289,200.0
1290,199.0
1291,200.0
1292,200.0
1293,200.0
1294,200.0
1295,200.0
1296,200.0
1297,200.0
1298,200.0
1299,200.0
1300,200.0
1301,200.0
1302,185.0
1303,194.0
1304,188.0
1305,183.0
1306,190.0
1307,200.0
1308,186.0
1309,188.0
1310,189.0
1311,190.0
1312,198.0
1313,200.0
1314,199.0
1315,196.0
1316,200.0
1317,191.0
1318,200.0
1319,200.0
1320,200.0
1321,200.0
1322,200.0
1323,200.0
1324,200.0
1325,200.0
1326,200.0
1327,200.0
1328,200.0
1329,200.0
1330,200.0
1331,200.0
1332,200.0
1333,200.0
1334,200.0
1335,200.0
1336,200.0
1337,200.0
1338,200.0
1339,200.0
1340,200.0
1341,200.0
1342,200.0
1343,200.0
1344,200.0
1345,200.0
1346,200.0
1347,200.0
1348,200.0
1349,200.0
1350,200.0
1351,200.0
1352,200.0
1353,200.0
1354,200.0
1355,200.0
1356,200.0
1357,200.0
1358,200.0
1359,200.0
1360,200.0
1361,200.0
1362,200.0
1363,200.0
1364,200.0
1365,200.0
1366,200.0
1367,200.0
1368,200.0
1369,200.0
1370,200.0
1371,200.0
1372,196.0
1373,200.0
1374,200.0
1375,200.0
1376,200.0
1377,200.0
1378,200.0
1379,200.0
1380,188.0
1381,173.0
1382,150.0
1383,143.0
1384,138.0
1385,149.0
1386,146.0
1387,128.0
1388,144.0
1389,152.0
1390,151.0
1391,138.0
1392,157.0
1393,165.0
1394,161.0
1395,168.0
1396,165.0
1397,155.0
1398,165.0
1399,176.0
1400,174.0
1401,182.0
1402,155.0
1403,173.0
1404,174.0
1405,170.0
1406,170.0
1407,176.0
1408,176.0
1409,177.0
1410,180.0
1411,167.0
1412,177.0
1413,177.0
1414,178.0
1415,184.0
1416,179.0
1417,171.0
1418,176.0
1419,182.0
1420,183.0
1421,180.0
1422,170.0
1423,186.0
1424,179.0
1425,182.0
1426,182.0
1427,181.0
1428,193.0
1429,192.0
1430,182.0
1431,191.0
1432,179.0
1433,177.0
1434,180.0
1435,175.0
1436,168.0
1437,187.0
1438,181.0
1439,194.0
1440,188.0
1441,184.0
1442,188.0
1443,195.0
1444,176.0
1445,190.0
1446,189.0
1447,172.0
1448,186.0
1449,181.0
1450,200.0
1451,190.0
1452,191.0
1453,200.0
1454,186.0
1455,175.0
1456,187.0
1457,200.0
1458,186.0
1459,198.0
1460,182.0
1461,181.0
1462,200.0
1463,198.0
1464,181.0
1465,200.0
1466,200.0
1467,200.0
1468,200.0
1469,200.0
1470,199.0
1471,195.0
1472,200.0
1473,200.0
1474,200.0
1475,200.0
1476,200.0
1477,199.0
1478,196.0
1479,200.0
1480,200.0
1481,200.0
1482,188.0
1483,200.0
1484,200.0
1485,186.0
1486,188.0
1487,196.0
1488,188.0
1489,185.0
1490,183.0
1491,189.0
1492,200.0
1493,199.0
1494,200.0
1495,196.0
1496,200.0
1497,200.0
1498,198.0
1499,200.0
1500,198.0
1501,200.0
1502,200.0
1503,200.0
1504,200.0
1505,200.0
1506,200.0
1507,200.0
1508,200.0
1509,179.0
1510,185.0
1511,171.0
1512,187.0
1513,179.0
1514,170.0
1515,187.0
1516,184.0
1517,179.0
1518,179.0
1519,192.0
1520,185.0
1521,189.0
1522,188.0
1523,200.0
1524,194.0
1525,200.0
1526,200.0
1527,196.0
1528,199.0
1529,200.0
1530,200.0
1531,200.0
1532,200.0
1533,200.0
1534,200.0
1535,200.0
1536,200.0
1537,200.0
1538,200.0
1539,200.0
1540,198.0
1541,200.0
1542,200.0
1543,200.0
1544,200.0
1545,200.0
1546,200.0
1547,200.0
1548,200.0
1549,200.0
1550,200.0
1551,200.0
1552,200.0
1553,200.0
1554,200.0
1555,200.0
1556,200.0
1557,200.0
1558,200.0
1559,200.0
1560,200.0
1561,200.0
1562,200.0
1563,200.0
1564,200.0
1565,200.0
1566,200.0
1567,200.0
1568,200.0
1569,200.0
1570,200.0
1571,200.0
1572,200.0
1573,200.0
1574,200.0
1575,200.0
1576,200.0
1577,200.0
1578,200.0
1579,200.0
1580,200.0
1581,200.0
1582,200.0
1583,200.0
1584,200.0
1585,200.0
1586,200.0
1587,200.0
1588,200.0
1589,200.0
1590,200.0
1591,200.0
1592,200.0
1593,200.0
1594,200.0
1595,200.0
1596,200.0
1597,200.0
1598,200.0
1599,200.0
1600,200.0
1601,200.0
1602,200.0
1603,200.0
1604,200.0
1605,200.0
1606,200.0
1607,200.0
1608,200.0
1609,200.0
1610,200.0
1611,200.0
1612,200.0
1613,200.0
1614,200.0
1615,200.0
1616,200.0
1617,200.0
1618,200.0
1619,200.0
1620,200.0
1621,200.0
1622,200.0
1623,200.0
1624,200.0
1625,200.0
1626,200.0
1627,200.0
1628,200.0
1629,200.0
1630,200.0
1631,200.0
1632,200.0
1633,200.0
1634,200.0
1635,200.0
1636,200.0
1637,200.0
1638,200.0
1639,200.0
1640,200.0
1641,200.0
1642,200.0
1643,200.0
1644,200.0
1645,200.0
1646,200.0
1647,200.0
1648,200.0
1649,200.0
1650,200.0
1651,200.0
1652,200.0
1653,200.0
1654,200.0
1655,200.0
1656,200.0
1657,200.0
1658,200.0
1659,200.0
1660,200.0
1661,200.0
1662,200.0
1663,200.0
1664,200.0
1665,200.0
1666,200.0
1667,200.0
1668,200.0
1669,200.0
1670,200.0
1671,200.0
1672,200.0
1673,200.0
1674,200.0
1675,200.0
1676,200.0
1677,200.0
1678,200.0
1679,200.0
1680,200.0
1681,200.0
1682,200.0
1683,200.0
1684,200.0
1685,200.0
1686,200.0
1687,200.0
1688,200.0
1689,200.0
1690,200.0
1691,200.0
1692,200.0
1693,200.0
1694,200.0
1695,200.0
1696,200.0
1697,200.0
1698,200.0
1699,200.0
1700,200.0
1701,200.0
1702,200.0
1703,200.0
1704,200.0
1705,200.0
1706,200.0
1707,200.0
1708,200.0
1709,200.0
1710,200.0
1711,200.0
1712,200.0
1713,200.0
1714,200.0
1715,200.0
1716,200.0
1717,200.0
1718,200.0
1719,200.0
1720,200.0
1721,200.0
1722,200.0
1723,200.0
1724,200.0
1725,200.0
1726,200.0
1727,200.0
1728,200.0
1729,200.0
1730,200.0
1731,200.0
1732,200.0
1733,200.0
1734,200.0
1735,200.0
1736,200.0
1737,200.0
1738,200.0
1739,200.0
1740,200.0
1741,200.0
1742,200.0
1743,200.0
1744,200.0
1745,200.0
1746,200.0
1747,200.0
1748,200.0
1749,200.0
1750,200.0
1751,200.0
1752,200.0
1753,200.0
1754,200.0
1755,200.0
1756,200.0
1757,200.0
1758,200.0
1759,200.0
1760,200.0
1761,200.0
1762,200.0
1763,200.0
1764,200.0
1765,200.0
1766,200.0
1767,200.0
1768,200.0
1769,200.0
1770,200.0
1771,200.0
1772,200.0
1773,200.0
1774,200.0
1775,200.0
1776,200.0
1777,200.0
1778,200.0
1779,200.0
1780,200.0
1781,200.0
1782,200.0
1783,200.0
1784,200.0
1785,200.0
1786,200.0
1787,200.0
1788,200.0
1789,200.0
1790,200.0
1791,200.0
1792,200.0
1793,200.0
1794,200.0
1795,200.0
1796,200.0
1797,200.0
1798,200.0
1799,200.0
1800,200.0
1801,200.0
1802,200.0
1803,200.0
1804,200.0
1805,200.0
1806,200.0
1807,200.0
1808,200.0
1809,200.0
1810,200.0
1811,200.0
1812,200.0
1813,200.0
1814,200.0
1815,200.0
1816,200.0
1817,200.0
1818,200.0
1819,200.0
1820,200.0
1821,200.0
1822,200.0
1823,200.0
1824,200.0
1825,200.0
1826,200.0
1827,200.0
1828,200.0
1829,200.0
1830,200.0
1831,200.0
1832,200.0
1833,200.0
1834,200.0
1835,200.0
1836,200.0
1837,200.0
1838,200.0
1839,200.0
1840,200.0
1841,200.0
1842,200.0
1843,200.0
1844,200.0
1845,200.0
1846,200.0
1847,200.0
1848,200.0
1849,200.0
1850,200.0
1851,200.0
1852,200.0
1853,200.0
1854,200.0
1855,200.0
1856,200.0
1857,200.0
1858,200.0
1859,200.0
1860,200.0
1861,200.0
1862,200.0
1863,195.0
1864,191.0
1865,196.0
1866,193.0
1867,187.0
1868,182.0
1869,197.0
1870,197.0
1871,200.0
1872,200.0
1873,200.0
1874,200.0
1875,200.0
1876,200.0
1877,200.0
1878,200.0
1879,200.0
1880,200.0
1881,200.0
1882,200.0
1883,200.0
1884,200.0
1885,200.0
1886,200.0
1887,200.0
1888,200.0
1889,200.0
1890,198.0
1891,200.0
1892,182.0
1893,200.0
1894,200.0
1895,196.0
1896,200.0
1897,200.0
1898,197.0
1899,182.0
1900,200.0
1901,187.0
1902,166.0
1903,185.0
1904,166.0
1905,181.0
1906,156.0
1907,153.0
1908,155.0
1909,159.0
1910,173.0
1911,159.0
1912,153.0
1913,156.0
1914,146.0
1915,162.0
1916,145.0
1917,164.0
1918,157.0
1919,143.0
1920,166.0
1921,133.0
1922,174.0
1923,174.0
1924,157.0
1925,174.0
1926,194.0
1927,172.0
1928,190.0
1929,180.0
1930,196.0
1931,182.0
1932,178.0
1933,182.0
1934,200.0
1935,187.0
1936,195.0
1937,180.0
1938,185.0
1939,183.0
1940,200.0
1941,197.0
1942,200.0
1943,199.0
1944,200.0
1945,200.0
1946,200.0
1947,200.0
1948,200.0
1949,200.0
1950,194.0
1951,200.0
1952,199.0
1953,199.0
1954,199.0
1955,190.0
1956,200.0
1957,200.0
1958,200.0
1959,200.0
1960,200.0
1961,200.0
1962,191.0
1963,200.0
1964,200.0
1965,200.0
1966,200.0
1967,200.0
1968,192.0
1969,190.0
1970,190.0
1971,200.0
1972,200.0
1973,200.0
1974,200.0
1975,200.0
1976,200.0
1977,200.0
1978,200.0
1979,200.0
1980,200.0
1981,200.0
1982,200.0
1983,200.0
1984,200.0
1985,200.0
1986,200.0
1987,200.0
1988,200.0
1989,200.0
1990,200.0
1991,200.0
1992,200.0
1993,200.0
1994,198.0
1995,200.0
1996,200.0
1997,200.0
1998,200.0
1999,200.0
2000,200.0
2001,200.0
2002,200.0
